%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2277.2100	3.3420	1.6270	2.2010	61.3590	0.2690	7.3557	3.5810	2.0541	0.1462	0.2000	1.0000
2277.3620	3.3020	1.6210	2.2070	61.2550	0.2790	7.2875	3.5775	2.0370	0.1469	0.2000	1.0000
2277.5140	3.1850	1.5460	2.2000	61.3190	0.2800	7.0070	3.4012	2.0602	0.2119	0.2000	1.0000
2277.6670	3.0790	1.5200	2.2020	67.0440	0.2900	6.7800	3.3470	2.0257	0.2028	0.2000	1.0000
2277.8190	2.9940	1.5200	2.2040	66.2460	0.2760	6.5988	3.3501	1.9697	0.2023	0.2000	1.0000
2277.9720	2.9950	1.5160	2.2050	66.1970	0.2790	6.6040	3.3428	1.9756	0.1660	0.2000	1.0000
2278.1240	3.0220	1.5110	2.2080	62.9960	0.2980	6.6726	3.3363	2.0000	0.2689	0.2000	1.0000
2278.2760	3.0320	1.5730	2.2400	72.0720	0.3470	6.7917	3.5235	1.9275	0.3289	0.2000	1.0000
2278.4290	3.1070	1.5990	2.2810	77.3610	0.3560	7.0871	3.6473	1.9431	0.3294	0.2000	1.0000
2278.5810	3.2230	1.6310	2.3030	77.3990	0.3290	7.4226	3.7562	1.9761	0.2214	0.2000	1.0000
2278.7340	3.2400	1.6310	2.2630	67.8880	0.2870	7.3321	3.6910	1.9865	0.1680	0.2000	1.0000
2278.8860	3.2450	1.6260	2.2250	63.1760	0.2770	7.2201	3.6179	1.9957	0.1627	0.2000	1.0000
2279.0380	3.2560	1.5900	2.1980	62.7100	0.2890	7.1567	3.4948	2.0478	0.1731	0.2000	1.0000
2279.1910	3.2600	1.6100	2.1990	63.6230	0.2990	7.1687	3.5404	2.0248	0.1719	0.2000	1.0000
2279.3430	3.2630	1.5940	2.2010	63.5250	0.3040	7.1819	3.5084	2.0471	0.1826	0.2000	1.0000
2279.4960	3.2480	1.6140	2.1970	64.4640	0.2970	7.1359	3.5460	2.0124	0.1962	0.2000	1.0000
2279.6480	3.2840	1.6140	2.1960	65.6630	0.2940	7.2117	3.5443	2.0347	0.1810	0.2000	1.0000
2279.8000	3.2870	1.6210	2.1960	64.3190	0.2900	7.2183	3.5597	2.0278	0.1838	0.2000	1.0000
2279.9530	3.2970	1.6250	2.2060	64.5670	0.2890	7.2732	3.5848	2.0289	0.1985	0.2000	1.0000
2280.1050	3.2930	1.6320	2.2060	65.8640	0.2860	7.2644	3.6002	2.0178	0.1815	0.2000	1.0000
2280.2580	3.2620	1.6590	2.2010	64.3680	0.2810	7.1797	3.6515	1.9662	0.1721	0.2000	1.0000
2280.4100	3.2630	1.6720	2.1990	63.5400	0.2940	7.1753	3.6767	1.9516	0.1562	0.2000	1.0000
2280.5620	3.2640	1.6720	2.2130	62.1390	0.2990	7.2232	3.7001	1.9522	0.2130	0.2000	1.0000
2280.7150	3.2760	1.6770	2.2340	67.1400	0.3110	7.3186	3.7464	1.9535	0.2463	0.2000	1.0000
2280.8670	3.2880	1.6880	2.2560	70.0750	0.3040	7.4177	3.8081	1.9479	0.2877	0.2000	1.0000
2281.0190	3.2890	1.6750	2.2650	73.7250	0.2990	7.4496	3.7939	1.9636	0.3343	0.2000	1.0000
2281.1720	3.2640	1.6700	2.2700	77.8360	0.2870	7.4093	3.7909	1.9545	0.3354	0.2000	1.0000
2281.3250	3.2290	1.6670	2.2620	77.9360	0.2820	7.3040	3.7708	1.9370	0.3055	0.2000	1.0000
2281.4770	3.2370	1.6670	2.2390	75.2940	0.2790	7.2476	3.7324	1.9418	0.2428	0.2000	1.0000
2281.6290	3.2320	1.6630	2.2130	69.7700	0.2830	7.1524	3.6802	1.9435	0.2203	0.2000	1.0000
2281.7820	3.2350	1.6530	2.2080	67.7850	0.2770	7.1429	3.6498	1.9570	0.2467	0.2000	1.0000
2281.9340	3.2290	1.6600	2.2290	70.1160	0.2810	7.1974	3.7001	1.9452	0.2300	0.2000	1.0000
2282.0860	3.2340	1.6270	2.2320	68.6400	0.2740	7.2183	3.6315	1.9877	0.2027	0.2000	1.0000
2282.2390	3.2620	1.6210	2.2190	66.2390	0.2750	7.2384	3.5970	2.0123	0.1625	0.2000	1.0000
2282.3910	3.2800	1.6210	2.2000	62.6920	0.2770	7.2160	3.5662	2.0234	0.1535	0.2000	1.0000
2282.5440	3.2850	1.6310	2.2000	61.8980	0.2880	7.2270	3.5882	2.0141	0.1910	0.2000	1.0000
2282.6960	3.2950	1.6520	2.2030	65.2080	0.2820	7.2589	3.6394	1.9946	0.1976	0.2000	1.0000
2282.8480	3.2980	1.6770	2.2160	65.7830	0.2690	7.3084	3.7162	1.9666	0.2395	0.2000	1.0000
2283.0010	3.2870	1.5000	2.2340	69.4800	0.2590	7.3432	3.3510	2.1913	0.2222	0.2000	1.0000
2283.1530	3.2910	1.6530	2.2470	67.9500	0.2650	7.3949	3.7143	1.9909	0.1882	0.2000	1.0000
2283.3060	3.3010	1.6530	2.2370	64.9590	0.2730	7.3843	3.6978	1.9970	0.1377	0.2000	1.0000
2283.4580	3.3150	1.6390	2.2230	60.5040	0.2710	7.3692	3.6435	2.0226	0.1608	0.2000	1.0000
2283.6100	3.3200	1.6390	2.2080	62.5440	0.2690	7.3306	3.6189	2.0256	0.2142	0.2000	1.0000
2283.7630	3.3330	1.6500	2.2180	67.2510	0.2630	7.3926	3.6597	2.0200	0.2772	0.2000	1.0000
2283.9150	3.3580	1.6500	2.2380	72.8000	0.2630	7.5152	3.6927	2.0352	0.2958	0.2000	1.0000
