%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2176.6260	2.9170	1.5140	2.1300	65.1170	0.2850	6.2132	3.2248	1.9267	0.1900	0.2020	0.9180
2176.7780	2.9200	1.5140	2.1350	63.7380	0.2930	6.2342	3.2324	1.9287	0.1744	0.2050	0.9370
2176.9300	2.8950	1.5050	2.1310	65.6680	0.3080	6.1692	3.2072	1.9236	0.1963	0.2060	0.9440
2177.0830	2.9150	1.4500	2.1270	63.3260	0.3140	6.2002	3.0842	2.0103	0.1697	0.2130	0.8980
2177.2350	2.9010	1.4470	2.1210	63.3780	0.3110	6.1530	3.0691	2.0048	0.1703	0.2210	0.8760
2177.3880	2.8980	1.4420	2.1270	64.8640	0.3110	6.1640	3.0671	2.0097	0.1871	0.2340	0.8930
2177.5400	2.9010	1.3920	2.1270	68.6040	0.3090	6.1704	2.9608	2.0841	0.2296	0.2580	0.8690
2177.6920	2.9050	1.3920	2.1300	69.1990	0.3040	6.1877	2.9650	2.0869	0.2363	0.2740	0.8810
2177.8450	2.9160	1.4860	2.1290	67.1830	0.3130	6.2082	3.1637	1.9623	0.2135	0.2840	0.8730
2177.9970	2.9170	1.4520	2.1210	65.5340	0.3040	6.1870	3.0797	2.0090	0.1947	0.2980	0.8410
2178.1500	2.8980	1.3890	2.1230	66.0220	0.3130	6.1525	2.9488	2.0864	0.2003	0.3260	0.8540
2178.3020	2.8880	1.4400	2.1200	66.5780	0.3110	6.1226	3.0528	2.0056	0.2066	0.3520	0.8690
2178.4540	2.8700	1.4400	2.1220	67.1890	0.3260	6.0901	3.0557	1.9931	0.2135	0.3810	0.8980
2178.6070	2.8590	1.3720	2.1210	68.8010	0.3230	6.0639	2.9100	2.0838	0.2318	0.3910	0.9190
2178.7590	2.8590	1.4200	2.1250	68.6190	0.3160	6.0754	3.0175	2.0134	0.2297	0.4100	0.8990
2178.9120	2.8870	1.4270	2.1200	68.7690	0.3130	6.1204	3.0252	2.0231	0.2314	0.4350	0.8980
2179.0640	2.8890	1.3830	2.1230	66.6340	0.3120	6.1333	2.9361	2.0889	0.2072	0.4820	0.9060
2179.2160	2.8780	1.3830	2.1210	69.3770	0.3090	6.1042	2.9333	2.0810	0.2383	0.5320	0.9010
2179.3690	2.8490	1.3820	2.1350	72.9520	0.3000	6.0826	2.9506	2.0615	0.2789	0.5760	0.8930
2179.5210	2.8470	1.4530	2.1670	79.3090	0.3140	6.1694	3.1487	1.9594	0.3510	0.5990	0.9210
2179.6740	2.8460	1.4540	2.2050	79.9190	0.3230	6.2754	3.2061	1.9574	0.3579	0.6170	0.9880
2179.8260	2.7930	1.4640	2.2300	80.3200	0.3370	6.2284	3.2647	1.9078	0.3625	0.6080	1.0000
